支付宝,,,,
交易分类,交易对方,商品说明,金额,W
餐饮美食,莉莲,上海茱莉亚食品有限公司,1.8,Y
餐饮美食,全家,上海全家购物,4.6,L
餐饮美食,菜饭骨头汤,收钱码收款,5,Y
餐饮美食,菜饭骨头汤,收钱码收款,5,Y
餐饮美食,瀛辉,大果冻,5.8,L
餐饮美食,蒋荣兴汤包馆,蒋荣兴-消费付款,8,L
餐饮美食,**华,收钱码收款,8,L
餐饮美食,CoCo都可,CoCo都可-CoCo都可(开新里店)-终端CN0108069,8.5,L
餐饮美食,魔柠,梨汤,9.9,Y
餐饮美食,来华,收款方备注:二维码收款,10,Y
餐饮美食,联华上海程家桥路店,联华上海程家桥路店,10.4,Y
餐饮美食,炒饭炒面,收钱码收款,12,L
餐饮美食,Wagas沃歌斯,上海沃歌斯餐饮有限公司1LK0010 大洋千树,12.8,L
餐饮美食,虹口糕团（徐家汇店）,虹口糕团（徐家汇店）,13,L
餐饮美食,名创优品上海龙阳广场店,二维码支付,13.8,L
餐饮美食,小翠,收钱码收款,15,Y
餐饮美食,邵万生,邵万生,15,Y
餐饮美食,快乐L(上海龙阳路店),【POS】_上海龙阳路店_39068_1045_无_无,16,L
餐饮美食,小杨生煎(上海天钥桥路店),上海天钥桥路店,17,L
餐饮美食,上海赛豚机器人有限公司,榛果牛奶巧克力,17.9,L
餐饮美食,上海喜创于茶餐饮管理有限公司,喜茶,18,Y
餐饮美食,凯司令,凯司令西点房(虹桥),19,L
餐饮美食,0766-茶百道上海虹口龙之梦店,支付码312849茶百道上海虹口龙之梦店微信餐厅(7328723141763534306),19,L
餐饮美食,张亮麻辣烫（上海柳州路店）,销售单,20,Y
餐饮美食,宜家,上海宜家家居有限公司宜家家居徐汇商场,20.98,L
餐饮美食,鲜芋仙上海长宁龙之梦店,鲜芋仙上海长宁龙之梦店-自提-829514974958495834,30,L
餐饮美食,蒋荣兴汤包馆,蒋荣兴-消费付款,31.5,L
餐饮美食,太湖大闸蟹专卖,收钱码收款,32,L
餐饮美食,luckin coffee,订单付款,35.5,L
餐饮美食,莉莲,上海莉莲蛋挞饼店,35.6,L
餐饮美食,王迪,收款方备注:二维码收款,40,Y
餐饮美食,南风烤鸭店,南风烤鸭店,41,L
餐饮美食,大食代上海,漂亮台北富霸王卤肉饭(大食代迪士尼)[132121pos02],41.4,Y
餐饮美食,平成屋,平成屋（第一百货店）-点餐即支付-1653585894722316383,42,Y
餐饮美食,凉皮肉夹馍,凉皮肉夹馍,43,L
餐饮美食,华记桂林米粉上海凯旋北路店,华记桂林米粉上海凯旋北路店,48,L
餐饮美食,莉莲,上海茱莉亚食品有限公司,49,Y
餐饮美食,伊祥●敦煌楼(中山北路店),敦煌楼（中山北路店）,50,L
餐饮美食,铁板烧烧(大食代迪士尼店),铁板烧烧(迪士尼店)[131851pos21],50.4,L
餐饮美食,上海汇联商厦有限公司,上海汇联商厦有限公司,51.8,L
餐饮美食,上海宜家家居有限公司,上海宜家家居有限公司,54.98,L
餐饮美食,秦碗会（御桥店）,秦碗会（御桥店）订单,64,Y
餐饮美食,萨莉亚,萨莉亚,70,L
餐饮美食,平成屋,平成屋-gmq-10000314312489167,75,Y
餐饮美食,羊肉串鲜行者上海凯旋北路店,羊肉串鲜行者上海凯旋北路店,76,L
餐饮美食,哈灵面馆(虹口龙之梦店),支付码:314725 哈灵面馆(虹口龙之梦店)(7328727946993093458),86.56,L
餐饮美食,平成屋,平成屋-gmq-10000314312309862,88,Y
餐饮美食,饿了么,烟火成串烧烤店(关岳西路店)外卖订单,92.99,L
餐饮美食,盘熟里韩国市井料理（龙阳广场店）,美团/大众点评点餐订单-02024719779989446480469,137,Y
餐饮美食,美团平台商户,牛new,139,L
交通出行,上海公共交通卡股份有限公司,,1,Y
交通出行,哈啰出行,哈啰单车骑行,1.5,Y
交通出行,广州骑安科技有限公司,单车,1.5,L
交通出行,哈啰出行,哈啰单车骑行,1.5,L
交通出行,上海公共交通卡股份有限公司,,2,Y
交通出行,上海公共交通卡股份有限公司,,2,Y
交通出行,上海公共交通卡股份有限公司,,2,L
交通出行,上海公共交通卡股份有限公司,,2,L
交通出行,上海公共交通卡股份有限公司,,3,Y
交通出行,上海公共交通卡股份有限公司,,3,Y
交通出行,上海公共交通卡股份有限公司,,3,Y
交通出行,上海公共交通卡股份有限公司,,3,Y
交通出行,上海公共交通卡股份有限公司,,3,Y
交通出行,上海公共交通卡股份有限公司,,3,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,Y
交通出行,上海公共交通卡股份有限公司,,4,L
交通出行,上海公共交通卡股份有限公司,,5,Y
交通出行,上海公共交通卡股份有限公司,,5,Y
交通出行,上海公共交通卡股份有限公司,,5,Y
交通出行,上海公共交通卡股份有限公司,,5,Y
交通出行,上海公共交通卡股份有限公司,,6,Y
交通出行,上海公共交通卡股份有限公司,,6,Y
交通出行,上海公共交通卡股份有限公司,,8,Y
交通出行,上海公共交通卡股份有限公司,,9,Y
交通出行,高德打车,高德地图打车订单,16,L
交通出行,高德打车,高德地图打车订单,18,L
交通出行,高德打车,高德地图打车订单,18.01,L
交通出行,高德打车,高德地图打车订单,18.01,L
交通出行,上海公共交通卡股份有限公司,,20,L
交通出行,上海公共交通卡股份有限公司,,20,L
交通出行,上海公共交通卡股份有限公司,,20,L
交通出行,高德打车,高德地图打车订单,23.79,L
交通出行,上海公共交通卡股份有限公司,,50,L
交通出行,广州骑安,单车,1.5,Y
交通出行,广州骑安,单车,1.5,Y
交通出行,美团平台商户,美团订单-24012711100400001309011326320001,1.5,Y
交通出行,美团,先骑后付,1.5,L
交通出行,美团,先骑后付,3.5,L
交通出行,地铁快乐行,TVM购票,4,Y
交通出行,美团平台商户,美团订单-24012711100400000029041987829245,5.8,L
交通出行,美团平台商户,美团订单-24012711100400001309041612161001,6.8,Y
交通出行,美团,美团订单-合并支付购买,2.5,Y
住宿,百度平台商家,高级大床房,127,L
住宿,百度平台商家,大床房,146,L
住宿,百度平台商家,大床房,146,L
住宿,百度平台商家,大床房(格林大促),156,L
住宿,百度平台商家,大床房(格林大促),175,L
住宿,百度平台商家,高级大床房,252,L
门票,百度平台商家,野生动物园,194,L
门票,百度平台商家,野生动物园,194,L
门票,京东,迪士尼门票,474,L
门票,京东,迪士尼门票,474,Y
玩乐,上海野生动物园景区旗舰店,动物部—鹈鹕互动,15,L
玩乐,上海野生动物园景区旗舰店,动物部分—羊驼互动点,20,L
玩乐,上海野生动物园景区旗舰店,动物部—长颈鹿互动点,60,L
玩乐,上海泉季沐浴有限公司,手牌付款，账单号489757,596,L
